theta,omega
-1.5762300706193793,-0.005406471462013271
-1.5762266349347758,-0.005337883330841609
-1.5762231992501456,-0.0052692951999079645
-1.576219763565522,-0.005200707069212397
-1.576216327880935,-0.0051321189387548306
-1.576212892196354,-0.005063530808535275
-1.5762094565117788,-0.004994942678553791
-1.5762060208271456,-0.004926354548810281
-1.576202585142646,-0.004857766419304851
-1.5761991494580878,-0.004789178290037408
-1.5761957137734397,-0.004720590161007918
-1.5761922780888933,-0.004652002032216487
-1.576188842404352,-0.004583413903663053
-1.576185406719817,-0.004514825775347566
-1.5761819710352554,-0.004446237647270101
-1.5761785353507636,-0.0043776495194306365
-1.576175099666213,-0.004309061391829128
-1.576171663981701,-0.0042404732644655985
-1.5761682282971945,-0.0041718851373400275
-1.576164792612693,-0.004103297010452417
-1.5761613569281976,-0.004034708883802725
-1.5761579212437076,-0.003966120757391023
-1.576154485559255,-0.0038975326312172855
-1.576151049874713,-0.0038289445052815093
-1.5761476141902726,-0.0037603563795836304
-1.5693884281992185,0.06246234860928089
-1.5693849925069216,0.06253093614296866
-1.569381556814627,0.0625995236764064
-1.5693781211223288,0.06266811120959488
-1.5693746854300206,0.0627366987425364
-1.5693712497377204,0.06280528627522597
-1.5693678140454175,0.06287387380766636
-1.5693643783531064,0.06294246133985937
-1.5693609426607995,0.06301104887180142
-1.569357506968492,0.06307963640349366
-1.569354071276179,0.06314822393493769
-1.569350635583864,0.06321681146613244
-1.5693471998915451,0.06328539899707834
-1.5693437641992267,0.06335398652777413
-1.56934032850691,0.06342257405821972
-1.5693368928145843,0.06349116158841794
-1.5693334571222606,0.06355974911836537
-1.5693300214299306,0.06362833664806503
-1.5693265857376022,0.0636969241775139
-1.5693231500452693,0.06376551170671453
-1.569319714352935,0.0638340992356653
-1.5693162786606003,0.0639026867643664
-1.569312842968261,0.0639712742928186
-1.5693094072759253,0.06403986182101945
-1.5693059715835807,0.06410844934897365
-1.5693025358912371,0.06417703687667667
-1.5692991001988934,0.06424562440413019
-1.5692956645065392,0.06431421193133673
-1.5692922288141904,0.06438279945829137
-1.5692887931218387,0.06445138698499674
-1.562529716435144,0.13067258680731203
-1.5625262807780445,0.1307411737762268
-1.5625228451209265,0.13080976074488837
-1.5625194094638049,0.13087834771329993
-1.5625159738067296,0.1309469346814705
-1.5625125381496523,0.1310155216493912
-1.5625091024925635,0.13108410861706035
-1.5625056668354884,0.1311526955844827
-1.562502231178435,0.1312212825516597
-1.5624987955213296,0.1312898695185778
-1.5624953598643039,0.13135845648526132
-1.5624919242072413,0.13142704345168907
-1.5624884885502097,0.1314956304178732
-1.562485052893175,0.13156421738380766
-1.5624816172361453,0.13163280434949404
-1.5624781815791058,0.13170139131492942
-1.5624747459221031,0.1317699782801228
-1.5624713102650976,0.13183856524506665
-1.5624678746080898,0.13190715220976115
-1.5624644389510953,0.13197573917420935
-1.5624610032941144,0.13204432613841124
-1.5624575676371224,0.1321129131023622
-1.562454131980136,0.13218150006606544
-1.5624506963231706,0.13225008702952412
-1.562447260666219,0.1323186739927366
-1.5624438250092803,0.13238726095570308
-1.5624403893523158,0.1324558479184158
-1.5624369536953793,0.13252443488088558
-1.5624335180384166,0.13259302184310176
-1.5624300823814834,0.13266160880507505
-1.5556710265168838,0.1988812871056757
-1.555667590870429,0.19894987349855356
-1.5556641552239048,0.19901845989121048
-1.5556607195774579,0.1990870462836557
-1.5556572839309786,0.19915563267588243
-1.5556538482845386,0.19922421906789523
-1.5556504126381385,0.19929280545969427
-1.5556469769916712,0.19936139185127275
-1.5556435413452423,0.19942997824263758
-1.5556401056987454,0.1994985646337821
-1.555636670052289,0.19956715102471306
-1.555633234405872,0.19963573741543042
-1.5556297987593861,0.19970432380592792
-1.5556263631130132,0.19977291019621635
-1.5556229274666074,0.1998414965862871
-1.5556194918202055,0.19991008297614235
-1.5556160561738075,0.19997866936578232
-1.5556126205273406,0.2000472557552027
-1.5556091848809506,0.20011584214441214
-1.5556057492345634,0.2001844285334065
-1.5556023135881438,0.20025301492218364
-1.5555988779418,0.20032160131075002
-1.5555954422953886,0.20039018769909722
-1.5555920066490523,0.2004587740872338
-1.5555885710026478,0.20052736047515143
-1.555585135356319,0.2005959468628585
-1.5555816997099574,0.2006645332503488
-1.5555782640635285,0.20073311963762044
-1.555574828417211,0.20080170602468372
-1.555571392770861,0.2008702924115306
-1.5488123672458123,0.2670884412135767
-1.548808931607324,0.26715702706098854
-1.5488054959690982,0.2672256129079265
-1.548802060330729,0.26729419875462535
-1.5487986246925407,0.2673627846008985
-1.548795189053965,0.2674313704470714
-1.5487917534158133,0.26749995629268014
-1.5487883177778419,0.26756854213786574
-1.5487848821396453,0.2676371279828584
-1.5487814465012262,0.26770571382765695
-1.5487780108630664,0.2677742996719871
-1.5487745752250053,0.2678428855159412
-1.548771139586882,0.26791147135961046
-1.5487677039487768,0.2679800572029496
-1.5487642683106089,0.2680486430460039
-1.5487608326724602,0.26811722888872824
-1.5487573970344888,0.26818581473103353
-1.5487539613964554,0.2682544005730546
-1.5487505257584395,0.2683229864147468
-1.5487470901204425,0.26839157225611043
-1.5487436544824629,0.26846015809714563
-1.5487402188444996,0.26852874393785275
-1.5487367832066348,0.2685973297781883
-1.5487333475687077,0.2686659156182401
-1.5487299119307179,0.2687345014580079
-1.5487264762928263,0.2688030872974051
-1.5487230406548718,0.26887167313651855
-1.548719605017174,0.26894025897517615
-1.5487161693793345,0.26900884481359355
-1.5487127337415116,0.26907743065168493
-1.5419537437372939,0.3352940628110791
-1.5419503081110977,0.33536264807262933
-1.541946872484751,0.3354312333339688
-1.5419434368585925,0.33549981859488215
-1.541940001232367,0.33556840385553105
-1.541936565606329,0.3356369891157552
-1.5419331299800554,0.33570557437582216
-1.541929694354053,0.335774159635412
-1.5419262587278164,0.3358427448948445
-1.5419228231018498,0.3359113301538014
-1.5419193874758168,0.335979915412495
-1.5419159518496341,0.3360485006709777
-1.541912516223721,0.33611708592898726
-1.5419090805977411,0.33618567118673404
-1.541905644971779,0.33625425644416534
-1.5419022093459183,0.3363228417012302
-1.541898773719991,0.3363914269580326
-1.5418953380939977,0.3364600122145721
-1.5418919024678552,0.33652859747090014
-1.5418884668419803,0.3365971827267598
-1.5418850312162065,0.33666576798225506
-1.541881595590449,0.3367343532374375
-1.5418781599645424,0.33680293849240867
-1.5418747243387358,0.3368715237470165
-1.5418712887129473,0.33694010900131177
-1.541867853087175,0.33700869425529506
-1.5418644174613367,0.3370772795090167
-1.5418609818355986,0.33714586476237646
-1.5418575462097948,0.3372144500154747
-1.5418541105842554,0.33728303526811254
-1.5350951445555805,0.4034981518362875
-1.5350917089622733,0.4035667364902807
-1.5350882733682147,0.4036353211445843
-1.535084837775184,0.403703905797943
-1.5350814021814012,0.4037724904516124
-1.53507796658763,0.40384107510505424
-1.5350745309941245,0.4039096597580893
-1.535071095400885,0.40397824441071745
-1.5350676598071453,0.4040468290634772
-1.5350642242134178,0.4041154137160099
-1.5350607886204688,0.4041839983677763
-1.535057353026249,0.4042525830202135
-1.5350539174328095,0.40432116767188464
-1.5350504818396389,0.40438975232314883
-1.5350470462462213,0.4044583369743655
-1.5350436106525587,0.40452692162553494
-1.5350401750596794,0.40459550627593777
-1.5350367394660378,0.40466409092665273
-1.5350333038729238,0.404732675576781
-1.5350298682790446,0.40480126022722185
-1.5350264326859537,0.40486984487689603
-1.5350229970923548,0.40493842952670306
-1.5350195614992859,0.4050070141759231
-1.5350161259057085,0.40507559882527644
-1.5350126903124017,0.4051441834742226
-1.5350092547191068,0.405212768122942
-1.5350058191258216,0.40528135277143457
-1.5350023835320272,0.40534993742006065
-1.5349989479392858,0.4054185220677389
-1.5349955123457728,0.40548710671573135
-1.5282365892621546,0.4717007027789974
-1.5282331536725122,0.47176928685792074
-1.5282297180828746,0.47183787093664126
-1.5282262824933517,0.47190645501503464
-1.5282228469036157,0.4719750390934737
-1.5282194113139949,0.4720436231715858
-1.5282159757244873,0.47211220724937053
-1.528212540135096,0.4721807913268274
-1.5282091045454917,0.47224937540433076
-1.5282056689560013,0.4723179594815064
-1.5282022333662986,0.4723865435587294
-1.5281987977767104,0.4724551276356244
-1.5281953621872364,0.47252371171219165
-1.5281919265975488,0.4725922957888067
-1.5281884910079766,0.4726608798650937
-1.5281850554184089,0.47272946394117815
-1.5281816198288476,0.47279804801705994
-1.5281781842396223,0.4728666320923608
-1.5281747486500719,0.47293521616783685
-1.5281713130605266,0.47300380024311023
-1.528167877470987,0.473072384318181
-1.5281644418815634,0.4731409683929227
-1.5281610062920339,0.47320955246758795
-1.5281575707026211,0.47327813654192397
-1.5281541351128811,0.47334672061643807
-1.528150699523479,0.4734153046903688
-1.5281472639341938,0.47348388876396935
-1.5281438283444684,0.4735524728378763
-1.5281403927551942,0.47362105691107137
-1.5281369571654795,0.473689640984574
-1.5213780752175707,0.539901717880288
-1.5213746396354124,0.5399703013828614
-1.5213712040534861,0.5400388848848584
-1.521367768471459,0.5401074683868085
-1.5213643328895523,0.5401760518883585
-1.5213608973076014,0.5402446353897733
-1.5213574617256056,0.5403132188910527
-1.5213540261436742,0.5403818023920205
-1.5213505905618085,0.5404503858926764
-1.521347154979842,0.5405189693932853
-1.5213437193978858,0.540587552893671
-1.5213402838159393,0.5406561363938331
-1.5213368482340586,0.5407247198936833
-1.5213334126522429,0.5407933033932216
-1.5213299770703825,0.5408618868926249
-1.521326541488476,0.5409304703918932
-1.521323105906579,0.5409990538909383
-1.521319670324749,0.5410676373896711
-1.5213162347429843,0.5411362208880921
