theta1,theta2,omega1,omega2
0.07829389311345517,0.9060082910527358,0.26726047832625277,-1.6070557161738992
0.0778769395431786,0.9014806046112798,0.287356964336329,-1.41202484460661
0.07755264102340649,0.898093249281024,0.30736728056586315,-1.2179871456808677
0.07732678945580823,0.8960451497094587,0.3272861835560774,-1.0251329037607224
0.07720471421657442,0.8955203456319553,0.3471089593310878,-0.8336356206067269
0.07719135238846503,0.8966871964468385,0.3668313344550972,-0.6436510338915598
0.07729120527130051,0.8996984717078692,0.3864495266901438,-0.45531741018208816
0.07750836036437374,0.904691403314828,0.40596021520590164,-0.2687557107055335
0.07784650020079517,0.9117880848102464,0.42536052216387454,-0.08407018225492326
0.07830893710291523,0.9210958828355301,0.4446479853601977,0.0986509222669315
0.07889859130533733,0.9327083011335519,0.46382054720030985,0.27933434408782026
0.08303710748198463,1.0258464439971255,0.455165639793951,-1.8803471352216095
0.0821497835275314,1.008781161638862,0.47571004684185036,-1.6723962814821904
0.08141135985094887,0.9941445496551176,0.49612228209442993,-1.466621659469629
0.08082476717389142,0.9820719387184703,0.5164007950577046,-1.2631296058572488
0.08039248696055072,0.972678367743862,0.5365445240607386,-1.0620035857385188
0.08011658653396647,0.9660601904399214,0.5565528493988904,-0.863306360172593
0.07999875500525544,0.9622967137503932,0.576425546071755,-0.6670821728302365
0.08004033905403118,0.961451842370672,0.5961627372518563,-0.4733589582543011
0.080242373789383,0.9635757122277313,0.6157648536369436,-0.2821504287556765
0.08060560893631603,0.9687062140243646,0.6352325890223759,-0.09345810849128337
0.08113054823951432,0.9768703990920006,0.6545668648540185,0.09272681361918696
0.08364261633202319,1.0603439331636593,0.6488631618081906,-2.03265351059495
0.08243399195660815,1.0335613905099503,0.6696334333878438,-1.8161672791810812
0.0814124931595067,1.010311413406508,0.690252396172577,-1.6027249312511074
0.08057814587145035,0.9906292675564584,0.710722269535498,-1.3923006468910888
0.07993073278622534,0.9745364473301544,0.7310454856066585,-1.184854797643029
0.07946982139101318,0.9620427204036488,0.7512246485007524,-0.98033664703155
0.07919479911644364,0.9531480174820117,0.7712624911523276,-0.778686766284012
0.07910490288503674,0.9478441023190797,0.7911618387786947,-0.5798391532442422
0.0791992423210618,0.9461159840360637,0.8109255786390562,-0.3837230340031644
0.07947682341796308,0.9479431850941025,0.8305566312010256,-0.19026445837029038
0.07993656588080553,0.9533007837680104,0.8500579281588242,0.0006123875879076521
0.08128399761983267,1.0259467852527588,0.8466165487861574,-2.089398798179658
0.07991291124842267,0.9938567908334007,0.8673859429821551,-1.8706686657558393
0.07874725016772903,0.9659199941782364,0.8880133095905319,-1.6551600219101532
0.07778538222480733,0.9420980968201941,0.9085030974029332,-1.442748471104782
0.07702564024616329,0.9223487799332301,0.9288597030230095,-1.233308392066492
0.07646636637826819,0.9066276480833444,0.9490874570664077,-1.0267150666661387
0.07610584537322233,0.8948876990269957,0.9691905998664005,-0.8228447951391402
0.07594239502318803,0.8870814608698522,0.9891732772697613,-0.6215767076085055
0.07597433817796155,0.8831609587345428,1.0090395252958233,-0.422793040871248
0.07620002241403541,0.8830783263873514,1.0287932637518828,-0.2263799568972016
0.0766178120316203,0.8867862665012249,1.0484382831658257,-0.03222768794902016
0.10922088062502287,0.932846687791157,-1.0443585949592133,0.09789033009951109
0.10957406536047408,0.9347199550813516,-1.0246051548105972,0.29468980113705834
0.10973787351171604,0.932863925611888,-1.0047742106739868,0.4928572870921842
0.10971119124363048,0.9272499387813283,-0.9848619684869594,0.6925050271531555
0.10949286182388471,0.9178474597953574,-0.9648644858540573,0.8937510492559976
0.10908166375193784,0.904623914008067,-0.9447776776844248,1.0967187026757024
0.1084763451643609,0.8875450682186528,-0.9245973096715546,1.30153686538653
0.10767559223521106,0.8665748236128179,-0.9043190084184746,1.5083398609892398
0.10667804940451912,0.84167559179897,-0.8839382567217192,1.7172671970830549
0.10548233450185175,0.8128086240513366,-0.8634504030317767,1.928463411528741
0.10408699559989067,0.7799340673868965,-0.8428506591530233,2.1420775744621894
0.10534497312488873,0.85400130130464,-0.8460115251585436,0.0655161522656318
0.10573091957420583,0.8570720694641872,-0.8263862045848659,0.259880277391472
0.1059365565266738,0.8566287997966484,-0.806656773961012,0.4561244507247887
0.1059608763502809,0.8526465401575984,-0.7868198614640132,0.6543459544887809
0.10580288628361992,0.8451010792574445,-0.7668720179217008,0.8546448479205253
0.10546161784187186,0.8339694180396003,-0.7468097270181324,1.0571234299710426
0.10493613740180206,0.819230328263774,-0.7266294167537241,1.2618855926617534
0.10422555334701929,0.8008650083400161,-0.7063274804652839,1.4690359739615855
0.10332904974740789,0.7788580495336502,-0.6859002820511226,1.6786790023764084
0.10224587984617091,0.7531982656536852,-0.6653441894515486,1.8909176852481906
0.1009753950812103,0.7238799074292877,-0.6446555957406619,2.105852163764895
0.10333877103664062,0.8089136501969321,-0.6499534035302679,-0.006308482699086029
0.10378059149095484,0.8141452725381492,-0.6304811839974063,0.18440392395119223
0.10405929108275046,0.8162501647343218,-0.6108921610832805,0.37720648808367707
0.104174817148422,0.8152318338862321,-0.5911842398862396,0.5721566931980028
0.10412725644102983,0.8110993517654762,-0.5713554055638468,0.7693087081848505
0.10391685839283653,0.8038683931886323,-0.5514037499329195,0.968712087658065
0.1035440512262188,0.7935623459172444,-0.5313274979258735,1.1704103427513042
0.10300947936449732,0.7802136363344536,-0.5111250480368033,1.3744392380037231
0.10231401894077545,0.7638651562368712,-0.49079499828625683,1.5808249662917326
0.10145881745545966,0.7445718394189381,-0.4703361940251556,1.7895820619756653
0.10044532333898178,0.7224024074854881,-0.4497477669576087,2.0007111209718014
0.10442138528737045,0.8190404136870053,-0.4579834422293331,-0.14978807521319637
0.10493611149197118,0.8275076722649525,-0.43868533475401955,0.03578362317551376
0.10531734035465863,0.8334636225188067,-0.41927786805930856,0.22326370728683334
0.10556693326156782,0.8369641403534306,-0.39976133379880924,0.41264268562766004
0.10568703615004216,0.838075670204684,-0.3801363062143635,0.6039006718909379
0.10568009996079882,0.836876319805809,-0.3604036704822141,0.7970058951799577
0.10554890716923299,0.8334569391252574,-0.34056465820189924,0.9919132041223135
0.10529659539421063,0.8279222368299047,-0.32062088104200426,1.188562497421206
0.10492667779827268,0.8203918154507253,-0.3005743594644409,1.3868772568791938
0.10444306943242786,0.8110011567488565,-0.2804275596216651,1.5867630929351764
0.10385010635125289,0.7999024794482478,-0.2601834218952577,1.7881064491907948
0.10974599906265761,0.9052935605854773,-0.271828154088438,-0.3968959798868146
0.11030399845913826,0.9171611391032022,-0.2526710567988362,-0.21697215362297056
0.11077181447123353,0.9273069398115759,-0.23343415185653807,-0.03565272139989349
0.11115370692452799,0.9358446680963345,-0.2141207389994205,0.14697960196414145
0.1114542297840916,0.942899949632852,-0.19473443073580388,0.33082863680263214
0.11167829987724133,0.948609979219177,-0.17527927889846862,0.5157850767020096
0.1118311396682782,0.953123979778507,-0.15575968122869238,0.7017255634585823
0.11191833821972527,0.9566027637076011,-0.13618048061211632,0.8885133166612
0.111945771424687,0.9592187222346114,-0.11654683940546452,1.0759976172927828
0.11191963841006178,0.9611548692026599,-0.09686432542779516,1.2640148633770512
0.11184641567833166,0.9626040550016546,-0.07713884990063243,1.452389449209199
0.11928828566069577,1.0715293065494287,-0.09154770692090478,-0.7553605669570808
